Country/Region;Products;Hours
Spanish Futures & Options Exchange (MEFF);"Futures (Equity Index, Single Stock)
Indices
Options (Equity, Equity Index)";Monday - Friday: 9:00-17:35
Nasdaq OMX - Stockholm (OMS);"Futures (Equity Index)
Indices
Options (Equity)";Monday - Friday: 9:00-17:25
Swedish Stock Exchange (SFB);"ETFs
Indices
Stocks";Monday - Friday: 9:00-17:30
BATS Europe (BATECH);Stocks;Monday - Friday: 8:00-16:30
CHI-X Europe Ltd Swiss (CHIXCH);Stocks;Monday - Friday: 9:00-17:30
EUREX (SOFFEX);"Futures (Equity Index, Single Stock)
Indices
Options (Equity, Equity Index)";Monday - Friday: 8:00-22:00
SIX Swiss Exchange (EBS);"ETFs
Indices
Stocks
Warrants (Index, Stock)";Monday - Friday: 9:00-17:32
Turquoise CH (TRQXCH);Stocks;Monday - Friday: 9:00-17:30
VIRT-X (VIRTX);"Indices
Stocks";Monday - Friday: 9:00-17:32
Bats Europe (BATEUK);Stocks;Monday - Friday: 8:00-16:30
CHI-X Europe Ltd Crest (CHIXUK);"ETFs
Stocks";Monday - Friday: 8:00-16:30
Intercontinental Exchange (ICE/IPE);Futures (Energy);Monday - Sunday: 1:00-23:00
Intercontinental Exchange (ICEEU);"Futures (Equity Index, Fixed Income, Single Stock)
Futures Options (Fixed Income)
Indices
Options (Equity, Equity Index)";Monday - Friday: 8:00-18:00
Intercontinental Exchange (ICEEUSOFT);"Futures (Commodities)
Indices";Monday - Friday: 8:45-18:00
LME OTC Lookalike Platform;Futures;Mon-Fri 0100-1900 WET
London Stock Exchange (LSE);"ETFs
Indices
Stocks";Monday - Friday: 8:00-16:50
LSE ETF Exchange;ETFs;8:00-16:30 GMT
LSE International Order Book (LSEIOB1);Stocks;Monday - Friday: 9:00-17:00
